"Regional","Elemento","Rodovia","KM","Largura (m)","Latitude","Longitude"
"DR 02","Acesso","SP 268","142,964","4,5","-23,503116","-47,822902"
"DR 02","Acesso","SP 268","142,964","8","-23,503173","-47,822775"
"DR 02","Acesso","SP 249","143,112","4,5","-23,67558","-49,28377"
"DR 02","Acesso","SP 250","143,208","4,5","-23,824764","-47,7072"
"DR 02","Acesso","SP 250","143,248","5","-23,825087","-47,707119"
"DR 02","Acesso","SP 268","143,395","4,5","-23,506225","-47,825056"
"DR 02","Acesso","SP 079","143,533","4","-23,892248","-47,508441"
"DR 02","Acesso","SP 250","143,724","8","-23,829289","-47,706722"
"DR 02","Acesso","SP 268","143,817","4,5","-23,509852","-47,826225"
"DR 02","Acesso","SP 250","143,853","4,5","-23,830488","-47,706838"
"DR 02","Acesso","SP 250","143,922","4,5","-23,831126","-47,706716"
"DR 02","Acesso","SP 250","144,182","4,5","-23,833202","-47,707861"
"DR 02","Acesso","SP 268","144,612","5","-23,516681","-47,828389"
"DR 02","Acesso","SP 268","144,622","8","-23,516822","-47,828322"
"DR 02","Acesso","SP 249","144,699","4","-23,66172","-49,287115"
"DR 02","Acesso","SP 250","144,947","4,5","-23,836867","-47,714194"
"DR 02","Acesso","SP 079","145,19","7","-23,905081","-47,515968"
"DR 02","Acesso","SP 249","145,237","4","-23,657026","-49,288127"
"DR 02","Acesso","SP 250","145,347","4,5","-23,838886","-47,717494"
"DR 02","Acesso","SP 250","145,624","4,5","-23,839574","-47,72012"
"DR 02","Acesso","SP 268","146,492","4,5","-23,533281","-47,831298"
"DR 02","Acesso","SP 250","146,662","4","-23,839419","-47,730303"
"DR 02","Acesso","SP 079","146,883","7","-23,920001","-47,515054"
"DR 02","Acesso","SP 250","147,067","4","-23,83941","-47,73435"
"DR 02","Acesso","SP 079","147,19","7","-23,922254","-47,513267"
"DR 02","Acesso","SP 250","147,196","4","-23,839122","-47,735586"
"DR 02","Acesso","SP 250","147,266","4","-23,838799","-47,736121"
"DR 02","Acesso","SP 250","147,365","4","-23,838583","-47,737112"
"DR 02","Acesso","SP 250","147,375","4","-23,838448","-47,737118"
"DR 02","Acesso","SP 250","148,162","2","-23,837005","-47,744638"
"DR 02","Acesso","SP 250","148,72","4","-23,836638","-47,750169"
"DR 02","Acesso","SP 268","148,825","4,5","-23,551296","-47,841441"
"DR 02","Acesso","SP 250","149,109","4","-23,83638","-47,753924"
"DR 02","Acesso","SP 250","150,426","4","-23,835594","-47,766872"
"DR 02","Acesso","SP 250","150,704","4","-23,835352","-47,769621"
"DR 02","Acesso","SP 079","150,724","6","-23,952685","-47,506365"
"DR 02","Acesso","SP 250","150,969","4","-23,835493","-47,77215"
"DR 02","Acesso","SP 079","151,203","6","-23,95685","-47,505744"
"DR 02","Acesso","SP 250","151,296","2","-23,835913","-47,775338"
"DR 02","Acesso","SP 079","151,339","6","-23,957963","-47,505191"
"DR 02","Acesso","SP 079","151,44","6","-23,958814","-47,50536"
"DR 02","Acesso","SP 079","151,44","7","-23,958844","-47,505223"
"DR 02","Acesso","SP 250","151,528","4","-23,836093","-47,777617"
"DR 02","Acesso","SP 250","151,818","4","-23,837537","-47,780011"
"DR 02","Acesso","SP 250","152,116","2","-23,839202","-47,78228"
"DR 02","Acesso","SP 268","152,217","4","-23,55393","-47,869828"
"DR 02","Acesso","SP 250","152,395","2","-23,840711","-47,784507"
"DR 02","Acesso","SP 079","152,941","6","-23,971506","-47,506391"
"DR 02","Acesso","SP 250","152,95","4","-23,843597","-47,78896"
"DR 02","Acesso","SP 250","153,019","4","-23,843823","-47,789595"
"DR 02","Acesso","SP 079","154,03","6","-23,980504","-47,509492"
"DR 02","Acesso","SP 250","154,191","4","-23,845496","-47,800376"
"DR 02","Acesso","SP 250","154,211","4","-23,845498","-47,800611"
"DR 02","Acesso","SP 250","154,61","4","-23,847288","-47,804013"
"DR 02","Acesso","SP 079","154,728","7","-23,986696","-47,510305"
"DR 02","Acesso","SP 250","155,049","4","-23,849342","-47,8077"
"DR 02","Acesso","SP 250","155,128","4","-23,849647","-47,808318"
"DR 02","Acesso","SP 079","155,204","6","-23,99077","-47,511937"
"DR 02","Acesso","SP 250","155,687","4","-23,852177","-47,813167"
"DR 02","Acesso","SP 250","155,727","4","-23,852248","-47,813501"
"DR 02","Acesso","SP 079","155,81","6","-23,995471","-47,512753"
"DR 02","Acesso","SP 250","156,344","4","-23,854121","-47,819201"
"DR 02","Acesso","SP 250","156,364","4","-23,854048","-47,819367"
"DR 02","Acesso","SP 250","156,364","2","-23,85414","-47,819393"
"DR 02","Acesso","SP 079","156,572","6","-23,997266","-47,518898"
"DR 02","Acesso","SP 268","156,746","6","-23,550327","-47,907293"
"DR 02","Acesso","SP 250","156,791","4","-23,854507","-47,823508"
"DR 02","Acesso","SP 268","157,576","4,5","-23,547371","-47,914704"
"DR 02","Acesso","SP 079","157,776","6","-24,005629","-47,525499"
"DR 02","Acesso","SP 268","158,109","4,5","-23,550074","-47,919005"
"DR 02","Acesso","SP 250","158,204","4","-23,857213","-47,837091"
"DR 02","Acesso","SP 250","158,214","4","-23,85713","-47,837204"
"DR 02","Acesso","SP 268","158,53","4,5","-23,55203","-47,922626"
"DR 02","Acesso","SP 249","159,104","4","-23,523537","-49,250398"
"DR 02","Acesso","SP 268","159,362","4,5","-23,552332","-47,930731"
"DR 02","Acesso","SP 250","159,369","4","-23,860625","-47,84786"
"DR 02","Acesso","SP 250","160,035","4","-23,862726","-47,853978"
"DR 02","Acesso","SP 249","160,151","4","-23,519828","-49,259827"
"DR 02","Acesso","SP 249","160,181","4","-23,519844","-49,260107"
"DR 02","Acesso","SP 079","160,283","6","-24,021518","-47,52966"
"DR 02","Acesso","SP 249","160,381","4","-23,518873","-49,261819"
"DR 02","Acesso","SP 249","160,581","2","-23,518032","-49,263567"
"DR 02","Acesso","SP 079","161,257","12","-24,024015","-47,537454"
"DR 02","Acesso","SP 079","161,304","6","-24,024332","-47,537729"
"DR 02","Acesso","SP 249","161,36","2","-23,514741","-49,270367"
"DR 02","Acesso","SP 249","161,46","2","-23,514347","-49,271206"
"DR 02","Acesso","SP 249","162,11","2","-23,511617","-49,276848"
"DR 02","Acesso","SP 249","162,17","4","-23,511518","-49,277436"
"DR 02","Acesso","SP 249","162,48","4","-23,510213","-49,280143"
"DR 02","Acesso","SP 249","162,659","4","-23,509324","-49,281622"
"DR 02","Acesso","SP 249","162,679","2","-23,509395","-49,281832"
"DR 02","Acesso","SP 250","162,74","4","-23,872408","-47,878374"
"DR 02","Acesso","SP 249","162,959","2","-23,508218","-49,284269"
"DR 02","Acesso","SP 268","163,204","6","-23,557786","-47,964291"
"DR 02","Acesso","SP 250","163,583","4","-23,873466","-47,886644"
"DR 02","Acesso","SP 079","163,634","7","-24,030273","-47,558469"
"DR 02","Acesso","SP 079","163,673","7","-24,030586","-47,558445"
"DR 02","Acesso","SP 250","163,883","4","-23,873912","-47,889516"
"DR 02","Acesso","SP 250","164,113","4","-23,874152","-47,891762"
"DR 02","Acesso","SP 250","164,173","4","-23,874228","-47,892333"
"DR 02","Acesso","SP 268","164,297","7","-23,565629","-47,970867"
"DR 02","Acesso","SP 250","164,353","4","-23,874601","-47,894108"
"DR 02","Acesso","SP 250","164,393","4","-23,874563","-47,894509"
"DR 02","Acesso","SP 250","164,453","4","-23,874738","-47,895063"
"DR 02","Acesso","SP 250","164,613","4","-23,87499","-47,896635"
"DR 02","Acesso","SP 250","164,723","4","-23,875039","-47,897687"
"DR 02","Acesso","SP 250","164,763","4","-23,875202","-47,898086"
"DR 02","Acesso","SP 268","164,772","6","-23,568616","-47,974195"
"DR 02","Acesso","SP 250","164,913","4","-23,875329","-47,89952"
"DR 02","Acesso","SP 250","164,923","4","-23,875435","-47,899608"
"DR 02","Acesso","SP 079","165,151","6","-24,038784","-47,566906"
"DR 02","Acesso","SP 079","165,306","6","-24,040184","-47,56709"
"DR 02","Acesso","SP 250","165,343","4","-23,876062","-47,903683"
"DR 02","Acesso","SP 249","165,398","4","-23,497868","-49,305441"
"DR 02","Acesso","SP 249","165,588","4","-23,497073","-49,307087"
"DR 02","Acesso","SP 268","165,626","8","-23,570774","-47,982029"
"DR 02","Acesso","SP 250","165,663","4","-23,876431","-47,90684"
"DR 02","Acesso","SP 250","165,783","4","-23,876703","-47,908"
"DR 02","Acesso","SP 250","166,523","4","-23,8777","-47,91519"
"DR 02","Acesso","SP 249","166,568","4","-23,492971","-49,315588"
"DR 02","Acesso","SP 268","167,275","8","-23,571287","-47,998161"
"DR 02","Acesso","SP 249","167,568","2","-23,488034","-49,323739"
"DR 02","Acesso","SP 079","168,105","12","-24,059296","-47,573763"
"DR 02","Acesso","SP 250","168,153","4","-23,880083","-47,930986"
"DR 02","Acesso","SP 079","168,187","12","-24,059564","-47,574545"
"DR 02","Acesso","SP 079","168,536","6","-24,058164","-47,577543"
"DR 02","Acesso","SP 270","168,537","10","-23,616442","-48,084348"
"DR 02","Acesso","SP 268","168,612","4,5","-23,571236","-48,011284"
"DR 02","Acesso","SP 270","168,628","12","-23,615862","-48,084944"
"DR 02","Acesso","SP 268","168,759","4,5","-23,571282","-48,012755"
"DR 02","Acesso","SP 079","168,929","6","-24,055087","-47,576857"
"DR 02","Acesso","SP 250","169,063","4","-23,881524","-47,93984"
"DR 02","Acesso","SP 249","169,202","4","-23,478746","-49,336023"
"DR 02","Acesso","SP 079","169,595","5","-24,054237","-47,582592"
"DR 02","Acesso","SP 079","169,891","6","-24,055964","-47,584627"
"DR 02","Acesso","SP 165","170,114","7","-24,523524","-48,734832"
"DR 02","Acesso","SP 250","170,323","4","-23,883263","-47,952064"
"DR 02","Acesso","SP 250","170,323","4","-23,883375","-47,952062"
"DR 02","Acesso","SP 079","170,531","12","-24,059973","-47,588749"
"DR 02","Acesso","SP 079","170,76","14","-24,061733","-47,589914"
"DR 02","Acesso","SP 250","170,998","4","-23,885","-47,958395"
"DR 02","Acesso","SP 250","171,047","4","-23,885224","-47,958808"
"DR 02","Acesso","SP 250","171,127","4","-23,885232","-47,959597"
"DR 02","Acesso","SP 079","171,232","7","-24,06479","-47,59279"
"DR 02","Acesso","SP 079","171,66","6","-24,066083","-47,596644"
"DR 02","Acesso","SP 079","171,979","7","-24,068309","-47,598287"
"DR 02","Acesso","SP 250","172,195","4","-23,886113","-47,970021"
"DR 02","Acesso","SP 079","172,603","6","-24,06859","-47,602446"
"DR 02","Acesso","SP 165","172,728","6","-24,531669","-48,757745"
"DR 02","Acesso","SP 165","172,728","4","-24,531671","-48,757792"
"DR 02","Acesso","SP 165","172,773","6","-24,531949","-48,758178"
"DR 02","Acesso","SP 165","173,357","6","-24,535051","-48,762589"
"DR 02","Acesso","SP 079","173,47","6","-24,0756","-47,604169"
"DR 02","Acesso","SP 250","173,631","4","-23,890044","-47,983456"
"DR 02","Acesso","SP 250","173,68","4","-23,89005","-47,984016"
"DR 02","Acesso","SP 165","173,745","6","-24,537065","-48,764893"
"DR 02","Acesso","SP 250","173,859","4","-23,89051","-47,985706"
"DR 02","Acesso","SP 250","174,019","4","-23,890972","-47,987214"
"DR 02","Acesso","SP 250","174,118","4","-23,891034","-47,988143"
"DR 02","Acesso","SP 079","174,131","6","-24,080366","-47,607189"
"DR 02","Acesso","SP 270","174,214","8","-23,581405","-48,122011"
"DR 02","Acesso","SP 270","174,253","2","-23,581461","-48,122398"
"DR 02","Acesso","SP 250","175,115","4","-23,892354","-47,997798"
"DR 02","Acesso","SP 250","175,154","4","-23,892302","-47,998146"
"DR 02","Acesso","SP 250","175,174","10","-23,892113","-47,998362"
"DR 02","Acesso","SP 079","175,58","7","-24,088927","-47,616008"
"DR 02","Acesso","SP 250","175,845","10","-23,891213","-48,004915"
"DR 02","Acesso","SP 165","176,137","6","-24,538415","-48,784792"
"DR 02","Acesso","SP 270","176,53","2","-23,583535","-48,144591"
"DR 02","Acesso","SP 270","176,62","4","-23,583624","-48,14549"
"DR 02","Acesso","SP 270","176,778","4","-23,583762","-48,146991"
"DR 02","Acesso","SP 250","176,937","8","-23,88752","-48,011626"
"DR 02","Acesso","SP 250","176,97","7","-23,88721","-48,011582"
"DR 02","Acesso","SP 250","177,87","4","-23,884619","-48,013903"
"DR 02","Acesso","SP 250","178,046","2","-23,885494","-48,015409"
"DR 02","Acesso","SP 270","178,264","8","-23,582912","-48,161278"
"DR 02","Acesso","SP 270","178,274","8","-23,582768","-48,161257"
"DR 02","Acesso","SP 250","178,298","2","-23,885777","-48,017738"
"DR 02","Acesso","SP 250","178,561","4","-23,886572","-48,019859"
"DR 02","Acesso","SP 268","179,125","4,5","-23,559024","-48,114963"
"DR 02","Acesso","SP 268","179,145","4,5","-23,559209","-48,115033"
"DR 02","Acesso","SP 165","179,256","6","-24,539565","-48,807796"
"DR 02","Acesso","SP 165","179,264","4","-24,539552","-48,807865"
"DR 02","Acesso","SP 270","179,44","8","-23,577156","-48,170828"
"DR 02","Acesso","SP 250","179,467","4","-23,888433","-48,026689"
"DR 02","Acesso","SP 270","179,529","8","-23,576477","-48,171409"
"DR 02","Acesso","SP 165","179,71","6","-24,541375","-48,811501"
"DR 02","Acesso","SP 165","179,719","4","-24,541367","-48,811536"
"DR 02","Acesso","SP 165","179,737","6","-24,541332","-48,811745"
"DR 02","Acesso","SP 250","179,74","2","-23,886856","-48,028714"
"DR 02","Acesso","SP 250","179,809","2","-23,886564","-48,029286"
"DR 02","Acesso","SP 268","179,877","4,5","-23,560031","-48,120453"
"DR 02","Acesso","SP 165","180,304","6","-24,540938","-48,817028"
"DR 02","Acesso","SP 079","180,355","6","-24,109904","-47,62921"
"DR 02","Acesso","SP 270","180,405","4,5","-23,570647","-48,176999"
"DR 02","Acesso","SP 165","180,691","7","-24,540447","-48,820686"
"DR 02","Acesso","SP 165","180,701","4","-24,540494","-48,820735"
"DR 02","Acesso","SP 165","180,895","7","-24,54082","-48,822551"
"DR 02","Acesso","SP 165","180,904","4","-24,540822","-48,822618"
"DR 02","Acesso","SP 165","181,108","6","-24,540459","-48,82452"
"DR 02","Acesso","SP 165","181,117","4","-24,540438","-48,824635"
"DR 02","Acesso","SP 165","181,263","7","-24,540346","-48,826046"
"DR 02","Acesso","SP 079","181,286","6","-24,112747","-47,62664"
"DR 02","Acesso","SP 165","181,35","6","-24,540636","-48,826895"
"DR 02","Acesso","SP 165","181,359","4","-24,540621","-48,826961"
"DR 02","Acesso","SP 270","181,518","5","-23,565575","-48,185465"
"DR 02","Acesso","SP 268","181,643","4,5","-23,552239","-48,130991"
"DR 02","Acesso","SP 165","181,678","4","-24,53932","-48,829522"
"DR 02","Acesso","SP 268","181,981","4,5","-23,549567","-48,131838"
"DR 02","Acesso","SP 250","182,075","2","-23,880616","-48,049302"
"DR 02","Acesso","SP 165","182,208","4","-24,535801","-48,832967"
"DR 02","Acesso","SP 268","182,367","4,5","-23,548481","-48,135368"
"DR 02","Acesso","SP 165","182,9","4","-24,530087","-48,83499"
"DR 02","Acesso","SP 165","182,9","7","-24,530135","-48,835004"
"DR 02","Acesso","SP 165","182,91","4","-24,530055","-48,834915"
"DR 02","Acesso","SP 165","182,957","6","-24,529719","-48,834713"
"DR 02","Acesso","SP 165","182,965","4","-24,529645","-48,834672"
"DR 02","Acesso","SP 270","183,089","8","-23,559625","-48,198695"
"DR 02","Acesso","SP 268","183,181","4,5","-23,551073","-48,142293"
"DR 02","Acesso","SP 165","183,313","6","-24,526891","-48,83614"
"DR 02","Acesso","SP 165","183,313","4","-24,526883","-48,836221"
"DR 02","Acesso","SP 165","183,626","4","-24,524836","-48,837922"
"DR 02","Acesso","SP 165","183,634","4","-24,524782","-48,837941"
"DR 02","Acesso","SP 165","183,76","4","-24,52373","-48,838399"
"DR 02","Acesso","SP 165","183,807","4","-24,523292","-48,838537"
"DR 02","Acesso","SP 268","183,9","4,5","-23,549654","-48,147094"
"DR 02","Acesso","SP 250","183,905","4","-23,88048","-48,06661"
"DR 02","Acesso","SP 250","183,905","2","-23,880576","-48,066595"
"DR 02","Acesso","SP 268","183,983","4,5","-23,54924","-48,147747"
"DR 02","Acesso","SP 250","185,353","4","-23,878833","-48,080354"
"DR 02","Acesso","SP 270","185,665","8","-23,550036","-48,221254"
"DR 02","Acesso","SP 268","185,762","4,5","-23,538451","-48,16062"
"DR 02","Acesso","SP 268","185,859","4,5","-23,537807","-48,161246"
"DR 02","Acesso","SP 270","186,594","8","-23,548979","-48,230292"
"DR 02","Acesso","SP 250","186,9","4","-23,878908","-48,095583"
"DR 02","Acesso","SP 250","186,914","2","-23,87903","-48,095779"
"DR 02","Acesso","SP 268","187,025","4,5","-23,530702","-48,16972"
"DR 02","Acesso","SP 268","187,492","4,5","-23,527062","-48,171872"
"DR 02","Acesso","SP 270","188,028","8","-23,547237","-48,244261"
"DR 02","Acesso","SP 250","188,176","2","-23,879185","-48,10819"
"DR 02","Acesso","SP 250","188,214","4","-23,879079","-48,108521"
"DR 02","Acesso","SP 268","188,436","4,5","-23,522527","-48,179343"
"DR 02","Acesso","SP 268","188,663","4,5","-23,520812","-48,18053"
"DR 02","Acesso","SP 268","188,727","4,5","-23,520337","-48,180935"
"DR 02","Acesso","SP 250","189,224","2","-23,879278","-48,118456"
"DR 02","Acesso","SP 270","189,227","4","-23,545747","-48,255868"
"DR 02","Acesso","SP 268","189,348","5","-23,522905","-48,186168"
"DR 02","Acesso","SP 268","189,723","4,5","-23,521493","-48,189372"
"DR 02","Acesso","SP 250","190,005","4","-23,877775","-48,125785"
"DR 02","Acesso","SP 268","190,202","5","-23,51898","-48,192942"
"DR 02","Acesso","SP 268","190,262","4,5","-23,518427","-48,193033"
"DR 02","Acesso","SP 268","190,791","4,5","-23,515462","-48,196779"
"DR 02","Acesso","SP 268","191,323","4,5","-23,514938","-48,201865"
"DR 02","Acesso","SP 270","191,418","4","-23,546482","-48,277078"
"DR 02","Acesso","SP 250","191,647","8","-23,883859","-48,137376"
"DR 02","Acesso","SP 250","191,87","6","-23,885085","-48,139077"
"DR 02","Acesso","SP 250","192,046","7","-23,885996","-48,140514"
"DR 02","Acesso","SP 250","192,046","7","-23,886065","-48,140452"
"DR 02","Acesso","SP 270","192,107","4","-23,5475","-48,283682"
"DR 02","Acesso","SP 250","192,472","7","-23,889509","-48,142233"
"DR 02","Acesso","SP 268","192,571","4,5","-23,520535","-48,212453"
"DR 02","Acesso","SP 268","192,846","4,5","-23,521461","-48,214897"
"DR 02","Acesso","SP 268","192,98","4,5","-23,521972","-48,216093"
"DR 02","Acesso","SP 268","193,174","4,5","-23,523368","-48,217242"
"DR 02","Acesso","SP 268","193,362","4,5","-23,524821","-48,218178"
"DR 02","Acesso","SP 268","193,864","4,5","-23,528614","-48,220667"
"DR 02","Acesso","SP 250","194,32","7","-23,900758","-48,152138"
"DR 02","Acesso","SP 250","194,746","6","-23,904488","-48,153192"
"DR 02","Acesso","SP 250","194,881","7","-23,905694","-48,153367"
"DR 02","Acesso","SP 268","195,293","4,5","-23,538543","-48,229392"
"DR 02","Acesso","SP 250","195,485","7","-23,91109","-48,153981"
"DR 02","Acesso","SP 268","195,588","4,5","-23,54113","-48,230195"
"DR 02","Acesso","SP 268","195,739","4,5","-23,542413","-48,230587"
"DR 02","Acesso","SP 268","195,761","4,5","-23,542612","-48,230547"
"DR 02","Acesso","SP 268","195,857","4,5","-23,543456","-48,230782"
"DR 02","Acesso","SP 268","195,865","4,5","-23,543507","-48,230899"
"DR 02","Acesso","SP 250","196,395","7","-23,918202","-48,157419"
"DR 02","Acesso","SP 270","196,593","10","-23,543661","-48,32735"
"DR 02","Acesso","SP 250","197,018","5","-23,923355","-48,158952"
"DR 02","Acesso","SP 250","197,333","7","-23,926009","-48,160096"
"DR 02","Acesso","SP 270","197,593","2","-23,53939","-48,335812"
"DR 02","Acesso","SP 250","197,654","4","-23,928575","-48,161328"
"DR 02","Acesso","SP 250","197,681","4","-23,928627","-48,161591"
"DR 02","Acesso","SP 270","197,88","4","-23,53764","-48,337793"
"DR 02","Acesso","SP 270","198,028","2","-23,536451","-48,338634"
"DR 02","Acesso","SP 250","199,185","4","-23,922642","-48,173433"
"DR 02","Acesso","SP 250","199,425","4","-23,92269","-48,175747"
"DR 02","Acesso","SP 250","199,621","4","-23,923536","-48,177428"
"DR 02","Acesso","SP 250","200,044","4","-23,922542","-48,181172"
"DR 02","Acesso","SP 250","200,563","4","-23,919693","-48,18475"
"DR 02","Acesso","SP 270","200,979","4,5","-23,528812","-48,364812"
"DR 02","Acesso","SP 270","201,019","4,5","-23,529131","-48,365205"
"DR 02","Acesso","SP 270","201,167","4,5","-23,529322","-48,36664"
"DR 02","Acesso","SP 270","201,389","4,5","-23,529744","-48,368687"
"DR 02","Acesso","SP 250","201,557","4","-23,919373","-48,193412"
"DR 02","Acesso","SP 250","202,529","4","-23,926518","-48,198404"
"DR 02","Acesso","SP 270","202,564","4,5","-23,531346","-48,380152"
"DR 02","Acesso","SP 250","202,757","4","-23,92839","-48,199298"
"DR 02","Acesso","SP 250","203,857","4","-23,933836","-48,207794"
"DR 02","Acesso","SP 250","204,417","4","-23,936903","-48,211797"
"DR 02","Acesso","SP 250","204,692","4","-23,939271","-48,212419"
"DR 02","Acesso","SP 250","204,956","2","-23,941565","-48,213153"
"DR 02","Acesso","SP 250","205,191","4","-23,94286","-48,214961"
"DR 02","Acesso","SP 250","206,682","4","-23,946998","-48,228778"
"DR 02","Acesso","SP 250","206,712","4","-23,947054","-48,229061"
"DR 02","Acesso","SP 250","206,812","4","-23,947557","-48,229849"
"DR 02","Acesso","SP 250","207,02","4","-23,948378","-48,231764"
"DR 02","Acesso","SP 250","207,173","4","-23,949577","-48,232452"
"DR 02","Acesso","SP 250","208,196","4","-23,957491","-48,237072"
"DR 02","Acesso","SP 270","208,672","6","-23,532598","-48,437618"
"DR 02","Acesso","SP 250","208,77","2","-23,9623","-48,239241"
"DR 02","Acesso","SP 250","209,995","4","-23,961933","-48,250504"
"DR 02","Acesso","SP 250","210,005","4","-23,961886","-48,250658"
"DR 02","Acesso","SP 270","210,883","4,5","-23,526864","-48,458356"
"DR 02","Acesso","SP 270","211,588","4,5","-23,526899","-48,465187"
"DR 02","Acesso","SP 270","211,717","4,5","-23,527133","-48,466443"
"DR 02","Acesso","SP 250","211,968","4","-23,96947","-48,26784"
"DR 02","Acesso","SP 270","212,266","4,5","-23,526891","-48,471717"
"DR 02","Acesso","SP 250","212,511","2","-23,97031","-48,27296"
"DR 02","Acesso","SP 270","213,195","4,5","-23,524413","-48,480491"
"DR 02","Acesso","SP 270","213,455","5","-23,523839","-48,482954"
"DR 02","Acesso","SP 270","213,565","4,5","-23,523431","-48,483889"
"DR 02","Acesso","SP 250","214,343","4","-23,971248","-48,287526"
"DR 02","Acesso","SP 250","215,248","4","-23,977177","-48,293427"
"DR 02","Acesso","SP 250","215,666","4","-23,979598","-48,296602"
"DR 02","Acesso","SP 270","216,109","4,5","-23,51397","-48,506224"
"DR 02","Acesso","SP 250","216,315","8","-23,983615","-48,301052"
"DR 02","Acesso","SP 127","216,533","8","-24,006564","-48,340611"
"DR 02","Acesso","SP 270","217,065","4,5","-23,508542","-48,513501"
"DR 02","Acesso","SP 270","217,525","4,5","-23,506113","-48,517139"
"DR 02","Acesso","SP 250","217,687","4","-23,993056","-48,305354"
"DR 02","Acesso","SP 250","217,953","4","-23,994262","-48,307555"
"DR 02","Acesso","SP 250","218,142","4","-23,995053","-48,309212"
"DR 02","Acesso","SP 268","218,634","4","-23,523723","-48,410868"
"DR 02","Acesso","SP 250","218,639","2","-23,998799","-48,311952"
"DR 02","Acesso","SP 270","218,916","4,5","-23,502793","-48,53025"
"DR 02","Acesso","SP 250","218,953","2","-24,000758","-48,314081"
"DR 02","Acesso","SP 268","219,631","4","-23,516631","-48,41264"
"DR 02","Acesso","SP 268","219,819","2","-23,514966","-48,41271"
"DR 02","Acesso","SP 268","220,221","4","-23,512535","-48,414834"
"DR 02","Acesso","SP 250","220,257","4","-24,00491","-48,324347"
"DR 02","Acesso","SP 250","220,899","4","-24,008845","-48,328991"
"DR 02","Acesso","SP 250","221,208","4","-24,010643","-48,331302"
"DR 02","Acesso","SP 268","221,608","4","-23,5016","-48,417783"
"DR 02","Acesso","SP 268","221,964","4","-23,500187","-48,417218"
"DR 02","Acesso","SP 268","222,252","4","-23,497683","-48,416917"
"DR 02","Acesso","SP 270","222,375","4,5","-23,490702","-48,560966"
"DR 02","Acesso","SP 270","222,854","4,5","-23,489249","-48,565447"
"DR 02","Acesso","SP 250","223,602","4","-24,01547","-48,348369"
"DR 02","Acesso","SP 250","224,356","8","-24,020076","-48,353823"
"DR 02","Acesso","SP 250","224,566","7","-24,021341","-48,355382"
"DR 02","Acesso","SP 268","225,234","2","-23,475909","-48,420105"
"DR 02","Acesso","SP 250","225,877","2","-24,030539","-48,363248"
"DR 02","Acesso","SP 268","226,104","4","-23,46886","-48,422606"
"DR 02","Acesso","SP 250","226,131","2","-24,031967","-48,365254"
"DR 02","Acesso","SP 270","226,258","9","-23,482858","-48,59807"
"DR 02","Acesso","SP 250","226,26","4","-24,032443","-48,366402"
"DR 02","Acesso","SP 268","226,858","4","-23,462176","-48,42155"
"DR 02","Acesso","SP 268","226,858","4","-23,462197","-48,421646"
"DR 02","Acesso","SP 250","227,379","4","-24,039023","-48,374625"
"DR 02","Acesso","SP 268","227,431","4","-23,457242","-48,423147"
"DR 02","Acesso","SP 268","228,285","4","-23,449737","-48,422571"
"DR 02","Acesso","SP 250","228,456","4","-24,046519","-48,381079"
"DR 02","Acesso","SP 268","228,869","2","-23,445603","-48,425955"
"DR 02","Acesso","SP 250","229,094","4","-24,051277","-48,384569"
"DR 02","Acesso","SP 268","229,13","4","-23,444018","-48,427789"
"DR 02","Acesso","SP 250","229,183","4","-24,05187","-48,385209"
"DR 02","Acesso","SP 268","229,444","2","-23,441943","-48,430008"
"DR 02","Acesso","SP 250","230,149","2","-24,057985","-48,391372"
"DR 02","Acesso","SP 268","230,434","4","-23,434561","-48,43451"
"DR 02","Acesso","SP 270","230,481","4,5","-23,475564","-48,638718"
"DR 02","Acesso","SP 268","230,56","7","-23,433913","-48,435463"
"DR 02","Acesso","SP 250","231,057","2","-24,059676","-48,400107"
"DR 02","Acesso","SP 250","231,147","2","-24,059847","-48,400974"
"DR 02","Acesso","SP 268","231,374","7","-23,428444","-48,440842"
"DR 02","Acesso","SP 270","231,906","4,5","-23,475241","-48,652621"
"DR 02","Acesso","SP 250","231,932","2","-24,062132","-48,40821"
"DR 02","Acesso","SP 268","232,082","7","-23,422989","-48,443895"
"DR 02","Acesso","SP 250","232,121","4","-24,063145","-48,409789"
"DR 02","Acesso","SP 250","232,201","2","-24,063488","-48,410419"
"DR 02","Acesso","SP 250","232,35","2","-24,064205","-48,411726"
"DR 02","Acesso","SP 268","232,63","7","-23,418907","-48,446209"
"DR 02","Acesso","SP 270","232,883","5","-23,475221","-48,66228"
"DR 02","Acesso","SP 268","232,984","7","-23,416962","-48,449037"
"DR 02","Acesso","SP 250","233,398","4","-24,06951","-48,420187"
"DR 02","Acesso","SP 250","233,498","4","-24,070138","-48,420884"
"DR 02","Acesso","SP 250","234,326","2","-24,075398","-48,426796"
"DR 02","Acesso","SP 250","234,685","2","-24,077553","-48,429336"
"DR 02","Acesso","SP 250","234,765","2","-24,077986","-48,430034"
"DR 02","Acesso","SP 250","235,778","2","-24,08472","-48,436549"
"DR 02","Acesso","SP 268","235,98","8","-23,430273","-48,47049"
"DR 02","Acesso","SP 270","236,132","4,5","-23,474411","-48,694097"
"DR 02","Acesso","SP 268","236,888","7","-23,424524","-48,476745"
"DR 02","Acesso","SP 270","237,69","4,5","-23,474232","-48,70935"
