"Regional","Elemento","Rodovia","KM","Largura (m)","Latitude","Longitude"
"DR 12","Acesso","SP 272","1,659","4","-22,270529","-51,52806"
"DR 12","Acesso","SPA 007/272","1,665","4","-22,288987","-51,575216"
"DR 12","Acesso","SP 487","1,678","8","-22,282101","-51,260309"
"DR 12","Acesso","SPA 008/457","1,714","4","-22,647637","-51,09473"
"DR 12","Acesso","SP 563","1,718","4","-22,506135","-52,145644"
"DR 12","Acesso","SPA 141/563","1,721","4","-21,377008","-51,59695"
"DR 12","Acesso","SPA 488/425","1,746","8","-22,370811","-51,560337"
"DR 12","Acesso","SPA 008/457","1,752","8","-22,647946","-51,094529"
"DR 12","Acesso","SPA 488/425","1,774","8","-22,370992","-51,560116"
"DR 12","Acesso","SPA 141/563","1,777","4","-21,376598","-51,597354"
"DR 12","Acesso","SPA 126/563","1,795","4","-21,502662","-51,619715"
"DR 12","Acesso","SP 501","1,798","8","-22,167066","-51,423935"
"DR 12","Acesso","SP 563","1,808","8","-22,505473","-52,145266"
"DR 12","Acesso","SPA 141/563","1,834","4","-21,376453","-51,597864"
"DR 12","Acesso","SPA 127/563","1,837","4","-21,494342","-51,653095"
"DR 12","Acesso","SPA 126/563","1,852","4","-21,50267","-51,619114"
"DR 12","Acesso","SPA 126/563","1,908","4","-21,502775","-51,618647"
"DR 12","Acesso","SPA 126/563","1,908","4","-21,502678","-51,618576"
"DR 12","Acesso","SP 501","1,908","4","-22,166669","-51,424916"
"DR 12","Acesso","SP 272","1,909","4","-22,270998","-51,530401"
"DR 12","Acesso","SPA 141/563","1,928","4","-21,375988","-51,598668"
"DR 12","Acesso","SP 272","1,929","4","-22,271027","-51,53058"
"DR 12","Acesso","SP 272","1,939","4","-22,270921","-51,530702"
"DR 12","Acesso","SP 613","1,955","4","-22,534093","-52,180215"
"DR 12","Acesso","SPA 007/272","1,986","4","-22,291568","-51,573874"
"DR 12","Acesso","SPA 041/613","2,017","8","-22,505329","-52,564734"
"DR 12","Acesso","SPA 147/563","2,031","4","-21,315757","-51,563973"
"DR 12","Acesso","SPA 147/563","2,06","4","-21,3156","-51,564212"
"DR 12","Acesso","SPA 141/563","2,06","4","-21,375337","-51,599732"
"DR 12","Acesso","SPA 569/294","2,078","4","-21,754674","-50,861118"
"DR 12","Acesso","SP 483","2,085","8","-22,311594","-51,274679"
"DR 12","Acesso","SP 483","2,085","8","-22,311678","-51,274566"
"DR 12","Acesso","SP 501","2,087","8","-22,166021","-51,426515"
"DR 12","Acesso","SPA 051/563","2,093","4","-22,113046","-51,947006"
"DR 12","Acesso","SPA 051/563","2,093","4","-22,113143","-51,947051"
"DR 12","Acesso","SPA 008/457","2,099","4","-22,649839","-51,091847"
"DR 12","Acesso","SPA 141/563","2,124","4","-21,374932","-51,600165"
"DR 12","Acesso","SPA 569/294","2,177","4","-21,754042","-50,860418"
"DR 12","Acesso","SPA 141/563","2,188","4","-21,374707","-51,60079"
"DR 12","Acesso","SPA 127/563","2,246","4","-21,493652","-51,65698"
"DR 12","Acesso","SPA 488/425","2,262","12","-22,373924","-51,556606"
"DR 12","Acesso","SPA 001/563","2,275","4","-22,514712","-52,130803"
"DR 12","Acesso","SPA 056/272","2,276","4","-22,273522","-52,063214"
"DR 12","Acesso","SP 613","2,295","8","-22,535354","-52,18319"
"DR 12","Acesso","SPA 141/563","2,3","4","-21,374183","-51,601669"
"DR 12","Acesso","SPA 147/563","2,301","8","-21,313619","-51,565036"
"DR 12","Acesso","SPA 141/563","2,308","4","-21,374002","-51,6017"
