"Regional","Elemento","Rodovia","KM","Tipo","Extensão (m)","Dimensão (m)","Latitude montante","Longitude montante","Latitude jusante","Longitude jusante"
"DR 01","Bueiro","SPA 009/010","7,080","Bueiro Simples Tubular de Concreto","20","0,6","-22.9256","-46.5035","-22.9256","-46.5032"
"DR 01","Bueiro","SPA 009/010","7,100","Bueiro Simples Tubular de Concreto","20","0,6","-22.9256","-46.5035","-22.9256","-46.5032"
"DR 01","Bueiro","SPA 137/360","7,100","Bueiro Simples Tubular de Concreto","20,5","0,6","-22.6915","-46.6879","-22.6915","-46.688"
"DR 01","Bueiro","SPA 003/010","7,220","Bueiro Simples Tubular de Concreto","7","0,6","-22.8834","-46.3731","-22.9268","-46.374"
"DR 01","Bueiro","SP 147","7,300","Bueiro Simples Tubular de Concreto","14","0,6","-22.552","-46.5711","-22.5522","-46.5711"
"DR 01","Bueiro","SPA 003/010","7,440","Bueiro Simples Tubular de Concreto","8","0,6","-22.9271","-46.3732","-22.927","-46.3731"
"DR 01","Bueiro","SPI 177/342","7,500","Bueiro Simples Tubular de Concreto","12","0,6","-22.3506","-46.8742","-22.3507","-46.8742"
"DR 01","Bueiro","SP 105","7,570","Bueiro Simples Tubular de Concreto","7,9","0,6","-22.5714","-46.7559","-22.5714","-46.7559"
"DR 01","Bueiro","SPA 109/008","7,730","Bueiro Simples Tubular de Concreto","8","0,8","-22.802","-46.482","-22.8021","-46.4818"
"DR 01","Bueiro","SPA 003/010","7,760","Bueiro Simples Tubular de Concreto","8,7","0,6","-22.9278","-46.3722","-22.9277","-46.3721"
"DR 01","Bueiro","SP 133","7,860","Bueiro Simples Tubular de Concreto","8,7","4","-22.6239","-47.2567","-22.624","-47.2566"
"DR 01","Bueiro","SP 073","7,960","Bueiro Simples Tubular de Concreto","13,25","1,2","-23.0","-47.087","-22.9999","-47.087"
"DR 01","Bueiro","SP 081","8,000","Bueiro Simples Tubular de Concreto","11","0,8","-22.89388","-46.90132","-22.89391","-46.90146"
"DR 01","Bueiro","SP 073","8,020","Bueiro Simples Tubular de Concreto","15","0,6","-23.0021","-47.0887","-23.002","-47.0885"
"DR 01","Bueiro","SP 081","8,100","Bueiro Simples Tubular de Concreto","11","0,8","-22.89388","-46.89739","-22.89451","-46.89742"
"DR 01","Bueiro","SP 081","8,200","Bueiro Simples Tubular de Concreto","11","0,6","-22.89388","-46.89739","-22.89451","-46.89742"
"DR 01","Bueiro","SPA 003/010","8,230","Bueiro Simples Tubular de Concreto","7,95","0,8","-22.9316","-46.3662","-22.9314","-46.3663"
"DR 01","Bueiro","SPA 009/010","8,300","Bueiro Simples Tubular de Concreto","14","0,6","-22.9341","-46.5112","-22.9339","-46.5112"
"DR 01","Bueiro","SP 081","8,300","Bueiro Simples Tubular de Concreto","11","0,6","-22.895745","-46.89637","-22.89507","-46.89635"
"DR 01","Bueiro","SP 073","8,320","Bueiro Simples Tubular de Concreto","13,82","0,4","-23.0057","-47.09","-23.0055","-47.0899"
"DR 01","Bueiro","SP 081","8,400","Bueiro Simples Tubular de Concreto","11","0,6","-22.89537","-46.89616","-22.89565","-46.89609"
"DR 01","Bueiro","SPA 003/010","8,480","Bueiro Simples Tubular de Concreto","7,4","0,6","-22.9329","-46.3645","-22.9327","-46.3645"
"DR 01","Bueiro","SP 081","8,500","Bueiro Simples Tubular de Concreto","11","0,6","-22.89595","-46.89524","-22.89538","-46.89524"
"DR 01","Bueiro","SP 073","8,540","Bueiro Simples Tubular de Concreto","28,71","1","-23.0057","-47.0902","-23.0056","-47.0901"
"DR 01","Bueiro","SP 081","8,600","Bueiro Simples Tubular de Concreto","11","0,6","-22.8975","-46.89421","-22.89717","-46.89421"
"DR 01","Bueiro","SPA 109/008","8,610","Bueiro Simples Tubular de Concreto","12","0,6","-22.8024","-46.4736","-22.8022","-46.4737"
"DR 01","Bueiro","SPA 066/300","8,650","Bueiro Simples Tubular de Concreto","30,4","0,6","-23.1565","-47.0431","-23.1564","-47.0432"
"DR 01","Bueiro","SP 081","8,730","Bueiro Simples Tubular de Concreto","11","0,6","-22.89759","-46.89234","-22.89743","-46.89245"
"DR 01","Bueiro","SPA 109/008","8,740","Bueiro Simples Tubular de Concreto","16","0,6","-22.8029","-46.4725","-22.8028","-46.4726"
"DR 01","Bueiro","SP 133","8,790","Bueiro Simples Tubular de Concreto","15","1,5","-22.6191","-47.2492","-22.6189","-47.2495"
"DR 01","Bueiro","SPA 109/008","8,900","Bueiro Simples Tubular de Concreto","14","0,6","-22.8032","-46.4718","-22.8031","-46.4717"
"DR 01","Bueiro","SP 147","8,950","Bueiro Simples Tubular de Concreto","14","0,6","-22.5556","-46.5845","-22.5558","-46.584"
"DR 01","Bueiro","SPA 009/010","9,030","Bueiro Simples Tubular de Concreto","12","0,6","-22.9352","-46.5163","-22.9352","-46.5164"
"DR 01","Bueiro","SP 081","9,070","Bueiro Simples Tubular de Concreto","8,05","0,6","-22.89548","-46.88818","-22.8955","-46.88828"
"DR 01","Bueiro","SP 081","9,200","Bueiro Simples Tubular de Concreto","8,65","0,6","-22.89384","-46.88669","-22.89383","-46.88675"
"DR 01","Bueiro","SPA 109/008","9,240","Bueiro Simples Tubular de Concreto","14","0,6","-22.8058","-46.469","-22.8057","-46.4689"
"DR 01","Bueiro","SP 081","9,290","Bueiro Simples Tubular de Concreto","8,6","0,6","-22.89358","-46.88615","-22.89351","-46.88617"
"DR 01","Bueiro","SP 073","9,300","Bueiro Simples Tubular de Concreto","18","1","-23.0125","-47.0927","-23.0124","-47.0926"
"DR 01","Bueiro","SP 147","9,300","Bueiro Simples Tubular de Concreto","14","0,6","-22.5571","-46.5843","-22.558","-46.5845"
"DR 01","Bueiro","SP 073","9,320","Bueiro Simples Tubular de Concreto","20","1","-23.0124","-47.02928","-23.0124","-47.0926"
"DR 01","Bueiro","SP 147","9,350","Bueiro Simples Tubular de Concreto","14","0,6","-22.558","-46.5845","-22.558","-46.5846"
"DR 01","Bueiro","SP 133","9,720","Bueiro Simples Tubular de Concreto","12,6","0,8","-22.6191","-47.2492","-22.6189","-47.2495"
"DR 01","Bueiro","SP 081","9,730","Bueiro Simples Tubular de Concreto","7","0,6","-22.89325","-4688493.0","-22.89336","-46.88494"
"DR 01","Bueiro","SP 081","9,900","Bueiro Simples Tubular de Concreto","15","0,8","-22.8932","-46.8855","-22.8898","-46.8817"
"DR 01","Bueiro","SP 073","9,960","Bueiro Simples Tubular de Concreto","12,31","0,4","-23.0131","-47.0931","-23.013","-47.093"
"DR 01","Bueiro","SP 073","9,961","Bueiro Simples Tubular de Concreto","5,57","0,6","-23.0128","-47.0929","-23.0128","-47.093"
"DR 01","Bueiro","SPA 003/010","10,100","Bueiro Simples Tubular de Concreto","7","0,6","-22.9325","-46.3481","-22.9324","-46.3482"
"DR 01","Bueiro","SPA 109/008","10,310","Bueiro Simples Tubular de Concreto","14","0,6","-22.8055","-46.4591","-22.8053","-46.4591"
"DR 01","Bueiro","SP 073","10,330","Bueiro Simples Tubular de Concreto","7,43","0,6","-23.0128","-47.0929","-23.0128","-47.093"
"DR 01","Bueiro","SP 081","10,330","Bueiro Simples Tubular de Concreto","8,9","0,6","-22.89305","-46.88225","-22.89309","-46.88233"
"DR 01","Bueiro","SPI 177/342","10,400","Bueiro Simples Tubular de Concreto","11","0,6","-22.3729","-46.8758","-22.3729","-46.8756"
